rule,course_id,code,title,description
1_placeholder,101410,ACCT 802,TGR Dissertation,
1_placeholder,102091,EDUC 380,Supervised Internship,
1_placeholder,103429,CHEMENG 802,TGR Dissertation,
1_placeholder,103792,CEE 801,TGR Project (Engineer Degree),
1_placeholder,103793,CEE 802,TGR Dissertation (PhD degree),
1_placeholder,104783,MATSCI 801,TGR Project for MS Students,
1_placeholder,104784,MATSCI 802,TGR Dissertation for Ph.D Students,
1_placeholder,105092,ME 500,Thesis (Ph.D.),
1_placeholder,105150,ME 801,TGR Project,
1_placeholder,105151,ME 802,TGR Dissertation,
1_placeholder,109503,APPPHYS 390,Dissertation Research,Dissertation Research
1_placeholder,110194,ANTHRO 801,TGR Project,
1_placeholder,110195,ANTHRO 802,TGR Dissertation,
1_placeholder,110589,ARTSTUDI 310B,Directed Reading: Studio,
1_placeholder,110590,ARTSTUDI 310C,Directed Reading: Studio,
1_placeholder,110600,ARTSTUDI 801,TGR Project,
1_placeholder,110997,ARTHIST 610,Teaching Praxis,
1_placeholder,111000,ARTHIST 640,Dissertation Proposal Preparation,(Staff)
1_placeholder,111001,ARTHIST 650,Dissertation Research,(Staff)
1_placeholder,111003,ARTHIST 802,TGR Dissertation,TGR Dissertation
1_placeholder,111015,EASTASN 801,TGR Project,
1_placeholder,111033,CSRE 200R,Directed Research,
1_placeholder,112130,BIO 802,TGR Dissertation,
1_placeholder,112224,OCEANS 801,TGR Project,TGR Project
1_placeholder,112227,OCEANS 802,TGR Dissertation,TGR Dissertation
1_placeholder,112338,CHEM 802,TGR Dissertation,
1_placeholder,113177,COMM 299,Individual Work,
1_placeholder,113242,COMM 801,TGR Project,
1_placeholder,113243,COMM 802,TGR Dissertation,
1_placeholder,113577,ECON 801,TGR Project,
1_placeholder,113578,ECON 802,TGR Dissertation,
1_placeholder,114523,ENGLISH 802,TGR Dissertation,
1_placeholder,115262,HISTORY 299A,Senior Research I,
1_placeholder,115263,HISTORY 299B,Senior Research II,
1_placeholder,115264,HISTORY 299C,Senior Research III,
1_placeholder,115637,HISTORY 399W,Graduate Directed Reading,
1_placeholder,116627,RELIGST 395,Master of Arts Thesis,
1_placeholder,116629,RELIGST 801,TGR Project,(Staff)
1_placeholder,116630,RELIGST 802,TGR Dissertation,
1_placeholder,116785,AMSTUD 195,Individual Work,
1_placeholder,117055,PUBLPOL 198,Directed Readings in Public Policy,
1_placeholder,119982,REES 299,Directed Reading,
1_placeholder,120792,LINGUIST 198,Honors Research,
1_placeholder,120793,LINGUIST 199,Independent Study,
1_placeholder,121048,LINGUIST 390,M.A. Project,
1_placeholder,121060,LINGUIST 397,Directed Reading,
1_placeholder,121061,LINGUIST 398,Directed Research,
1_placeholder,121062,LINGUIST 399,Dissertation Research,
1_placeholder,121236,LINGUIST 802,TGR Dissertation,
1_placeholder,122555,PHIL 450,Thesis,(Staff)
1_placeholder,122557,PHIL 802,TGR Dissertation,(Staff)
1_placeholder,122794,PHYSICS 801,TGR Project,
1_placeholder,122795,PHYSICS 802,TGR Dissertation,
1_placeholder,123766,POLISCI 802,TGR Dissertation,
1_placeholder,124205,PSYCH 802,PhD TGR Dissertation,
1_placeholder,124305,MTL 801,TGR Project,
